author,title,description
Jim DeMint,Republican from South Carolina,Jim DeMint is a former U.S. Senator from South Carolina. He is now president of The Heritage Foundation .
Lowell Holtz,None from Wisconsin,Lowell Holtz was a candidate in the spring 2017 primary for the nonpartisan position of State Superintendent of Public Instruction. He's a former principal and school superintendent in multiple Wisconsin school districts.
Adam Kinzinger,Republican from Illinois,"Adam Kinzinger is a U.S. congressman from Illinois’ 11th district. A former member of the Air Force, Kinzinger defeated Democratic Rep. Debbie Halvorson in 2010 to obtain his seat."
Bob Kincaid,Democrat from West Virginia,Bob Kincaid is a liberal radio host and co-founder of Appalachian Community Health Emergency.
John Chiang,Democrat from California,John Chiang is California's state treasurer. He is also a Democratic candidate for the 2018 governor's race.
Occupy Democrats,The PolitiFact scorecard,"Occupy Democrats, founded in 2012, is an advocacy group created to counterbalance the Republican tea party, and to ""give President Obama and other progressive Democrats a Congress that will work with them to grow the economy, create jobs, promote fairness and fight inequality, and get money out of politics!"""
"Vincent """"Buddy"""" Cianci",Independent from Rhode Island,"Vincent ""Buddy"" Cianci is a talk-radio host and ex-convict who spent more time serving as mayor of Providence (21 years from 1975 to 2002) than anyone in the city's history. He is the author of ""Politics and Pasta: How I Prosecuted Mobsters, Rebuilt a Dying City, Advised a President, Dined with Sinatra, Spent Five Years in a Federally Funded Gated Community, and Lived to Tell the Tale."" He was defeated in the 2014 mayoral election when he ran as an independent."
American Petroleum Institute,,The American Petroleum Institute is a national trade association representing American oil and natural gas companies and industries.
Nicholas Mattiello,Democrat from Rhode Island,"Nicholas A. Mattiello has been Speaker of the Rhode Island House of Representatives since March 25, 2014. A Democrat and lawyer, he is a graduate of the Suffolk University School of Law and represents District 15 in Cranston. He previously served as Majority Leader in the House."
Chris Ruddy,,"Chris Ruddy is the CEO of Newsmax, a conservative news website."
Committee of Austin's Children PAC,None from Texas,The Committee of Austin's Children PAC is supportive of a November 2017 bond proposition offered by the school board of the Austin school district.
Edward Snowden,Libertarian from Russia,"A former National Security Agency contractor based in Hawaii, Edward Snowden released secret documents about NSA surveillance programs to journalists for the Washington Post and Guardian before fleeing to Hong Kong. He now lives in Russia, which granted him permission to stay there three years."
Brit Hume,,Brit Hume is a Fox News political analyst.
Anne Nolan,Activist from Rhode Island,"Anne Nolan is president of Crossroads Rhode Island, which operates the state’s largest homeless shelter."
Ellen Troxclair,None from Texas,"Ellen Troxclair, elected in 2014 to represent a Southwest Austin district on the Austin City Council, says she otherwise volunteers in the community and manages a real estate management business."
Atlanta Sports Council,,The Atlanta Sports Council helps support and recruit sports events.
Eric Fehrnstrom,Republican from Massachusetts,"Eric Fehrnstrom is a former Boston Herald political reporter and state house bureau chief who later became assistant state treasurer in Massachusetts. After a stint as a private-sector consultant, Fehrnstrom took a senior position with the presidential campaign of Mitt Romney."
Gary George,Democrat from Wisconsin,"Gary George, a Democrat, represented Milwaukee in the Wisconsin Senate and was co-chair of the influential Joint Finance Committee. He is a former candidate for governor. In 2003, he was recalled from office as a state senator and convicted a year later of a felony count of conspiring to defraud the government for his role in a $270,000 kickback scheme. In 2014 he re-entered politics and was an unsuccessful candidate in the Aug. 12, 2014 Democratic primary for the 4th Congressional seat held by Rep. Gwen Moore."
Bruce Braley,Democrat from Iowa,a Democratic member of the U.S. House of Representatives representing Iowa
Joe Manchin,Democrat from West Virginia,Joe Manchin is a U.S. senator from West Virginia. The former governor of West Virginia won a special election in November 2010 to complete the balance of the late Sen. Robert Byrd’s term.
For Our Future Florida,None from Florida,For Our Future Florida is a progressive advocacy group.
Daniel Harrop,Republican from Rhode Island,"Daniel Harrop is a Providence psychiatrist who made unsuccessful runs for mayor of Providence as a Republican in 2006, 2010 and 2014."
Jennifer Granholm,Democrat from Michigan,"Jennifer Granholm, a Democrat, served two terms as governor of Michigan, from 2003 to 2011. She currently teaches law at the University of California, Berkeley, and hosts a talk show on Current TV."
William G. Batchelder,,
Our Principles PAC,,"Our Principles PAC was formed by Katie Packer, a veteran Republican strategist, with the goal of reducting support for Donald Trump."
Lars Larson,None from Oregon,"Lars Larson is a conservative radio talk show host. The ""Lars Larson"" show runs on 18 radio stations in Oregon and Washington. His Compass Media Networks national show is carried by 200 radio stations around the country. Larson got his start in radio, then reported for KPTV, Channel 12, in Portland for many years."
Bill Maher,Independent from California,Bill Maher is a comedian and host of HBO's Real Time with Bill Maher. He also works as a comedian and actor.
Sean Duffy,Republican from Wisconsin,"Sean Duffy is a Republican member of the U.S. House, representing Wisconsin's 7th District in the northwestern part of the state. The former Ashland County district attorney was elected In November 2010, taking the seat previously held by Democratic U.S. Rep. Dave Obey of Wausau."
Sameh Shoukry,,Sameh Shoukry is the Egyptian ambassador to the United States.
Viral image,The PolitiFact scorecard,"Graphics, pictures and charts shared on social media give chain emails a run for their money when it comes to spreading too-good-to-be-true claims all over the Internet. A common form is is the ""Internet macro,"" which uses an easily recognized and repurposed image (called a meme) wth superimposed text to make a funny but political argument. Sometimes these images are passed across social networks like Facebook, Twitter and Reddit so widely that the original source is nearly impossible to determine."
League of Women Voters of the Austin Area,Organization from Texas,The League of Women Voters of the Austin Area is a nonpartisan group that doesn't support or oppose any candidate or cause. It publishes voter guides describing ballot issues and presenting information about candidates for elected office.
Sylvia Romo,Democrat from Texas,"Sylvia Romo, the Bexar County tax assessor-collector, sought a U.S. House seat created as a result of the sate's population gains from 2000 to 2010. The former member of the Texas House lost to Lloyd Doggett of Austin in the 2012 Democratic primary."
Mike Rogers,Republican from Michigan,"Mike Rogers is a Republican from Michigan who served in the U.S. House of Representatives from 2001 to 2015, including a stint as chairman of the House Intelligence Committee. A former FBI special agent, he is now a national security commentator for CNN."
Mike McCabe,,"Mike McCabe, of Madison, is running for the Democratic nomination for governor of Wisconsin in 2018. He was executive director of the non-profit Wisconsin Democracy Campaign, which tracks money in state politics."
Ernest Almonte,Independent from Rhode Island,"Ernest Almonte served as Rhode Island's Auditor General from 1994 to 2010. He has served as president of the Rhode Island Society of Certified Public Accountants and the National Association of State Auditors. He is founder of the Almonte Group, an accounting firm. He is married with five sons. In 2014 he made an unsuccessful run for Rhode Island General Treasurer as an independent."
